Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-Jan-91,1500,1500,1475,1475,0,0,0,0,,,25,-25
3-Jan-91,1475,1500,1350,1400,0,0,0,0,,,150,-75
7-Jan-91,1450,1475,1400,1450,0,0,0,0,,,75,0
9-Jan-91,1475,1500,1450,1475,0,0,0,0,,,50,0
11-Jan-91,1425,1500,1425,1500,0,0,0,0,,,75,75
14-Jan-91,1475,1500,1460,1485,0,0,0,0,,,40,10
23-Jan-91,1475,1475,1440,1440,0,0,0,0,,,35,-35
24-Jan-91,1450,1450,1325,1325,0,0,0,0,,,125,-125
25-Jan-91,1325,1325,1280,1300,0,0,0,0,,,45,-25
31-Jan-91,1500,1500,1400,1420,0,0,0,0,,,100,-80
1-Feb-91,1420,1510,1400,1500,0,0,0,0,,,110,80
4-Feb-91,1550,1600,1525,1550,0,0,0,0,,,75,0
5-Feb-91,1600,1650,1565,1610,0,0,0,0,,,85,10
6-Feb-91,1625,1650,1575,1575,0,0,0,0,,,75,-50
7-Feb-91,1540,1540,1500,1530,0,0,0,0,,,40,-10
8-Feb-91,1525,1535,1500,1520,0,0,0,0,,,35,-5
11-Feb-91,1500,1500,1475,1480,0,0,0,0,,,25,-20
13-Feb-91,1460,1525,1460,1490,0,0,0,0,,,65,30
14-Feb-91,1500,1540,1490,1515,0,0,0,0,,,50,15
15-Feb-91,1525,1550,1515,1530,0,0,0,0,,,35,5
19-Feb-91,1675,1860,1675,1825,0,0,0,0,,,185,150
20-Feb-91,1750,1840,1725,1820,0,0,0,0,,,115,70
21-Feb-91,1900,1950,1850,1870,0,0,0,0,,,100,-30
22-Feb-91,1975,2000,1900,1920,0,0,0,0,,,100,-55
26-Feb-91,1975,2050,1975,2030,0,0,0,0,,,75,55
27-Feb-91,2000,2020,1940,1990,0,0,0,0,,,80,-10
28-Feb-91,2025,2050,1950,1960,0,0,0,0,,,100,-65
4-Mar-91,1925,2040,1925,2005,0,0,0,0,,,115,80
5-Mar-91,2020,2070,1980,2040,0,0,0,0,,,90,20
7-Mar-91,1875,1920,1850,1875,0,0,0,0,,,70,0
8-Mar-91,1880,1950,1870,1940,0,0,0,0,,,80,60
11-Mar-91,1900,1940,1890,1930,0,0,0,0,,,50,30
12-Mar-91,1900,1960,1880,1955,0,0,0,0,,,80,55
13-Mar-91,2070,2140,2070,2080,0,0,0,0,,,70,10
15-Mar-91,2320,2370,2260,2270,0,0,0,0,,,110,-50
18-Mar-91,2200,2240,2150,2170,0,0,0,0,,,90,-30
20-Mar-91,2180,2210,2130,2130,0,0,0,0,,,80,-50
21-Mar-91,2030,2090,2010,2080,0,0,0,0,,,80,50
22-Mar-91,2200,2230,2150,2170,0,0,0,0,,,80,-30
25-Mar-91,2130,2140,2100,2105,0,0,0,0,,,40,-25
26-Mar-91,2115,2205,2110,2190,0,0,0,0,,,95,75
27-Mar-91,2230,2260,2170,2170,0,0,0,0,,,90,-60
1-Apr-91,2220,2290,2200,2275,0,0,0,0,,,90,55
2-Apr-91,2330,2340,2280,2340,0,0,0,0,,,60,10
3-Apr-91,2360,2370,2285,2315,0,0,0,0,,,85,-45
4-Apr-91,2290,2315,2270,2280,0,0,0,0,,,45,-10
5-Apr-91,2305,2330,2285,2295,0,0,0,0,,,45,-10
8-Apr-91,2280,2330,2275,2320,0,0,0,0,,,55,40
9-Apr-91,2375,2405,2350,2355,0,0,0,0,,,55,-20
11-Apr-91,2380,2430,2360,2425,0,0,0,0,,,70,45
12-Apr-91,2500,2515,2460,2460,0,0,0,0,,,55,-40
15-Apr-91,2500,2525,2490,2510,0,0,0,0,,,35,10
16-Apr-91,2510,2510,2440,2460,0,0,0,0,,,70,-50
18-Apr-91,2445,2485,2410,2460,0,0,0,0,,,75,15
19-Apr-91,2475,2540,2475,2520,0,0,0,0,,,65,45
22-Apr-91,2520,2555,2500,2525,0,0,0,0,,,55,5
23-Apr-91,2485,2540,2485,2500,0,0,0,0,,,55,15
24-Apr-91,2485,2500,2460,2470,0,0,0,0,,,40,-15
25-Apr-91,2505,2505,2445,2465,0,0,0,0,,,60,-40
26-Apr-91,2430,2430,2380,2385,0,0,0,0,,,50,-45
29-Apr-91,2350,2360,2310,2325,0,0,0,0,,,50,-25
30-Apr-91,2290,2300,2200,2200,0,0,0,0,,,100,-90
3-May-91,2330,2390,2310,2360,0,0,0,0,,,80,30
6-May-91,2345,2350,2290,2290,0,0,0,0,,,60,-55
7-May-91,2220,2270,2210,2245,0,0,0,0,,,60,25
8-May-91,2300,2315,2270,2280,0,0,0,0,,,45,-20
9-May-91,2240,2295,2225,2260,0,0,0,0,,,70,20
10-May-91,2310,2365,2295,2350,0,0,0,0,,,70,40
13-May-91,2390,2430,2365,2365,0,0,0,0,,,65,-25
14-May-91,2345,2380,2330,2375,0,0,0,0,,,50,30
16-May-91,2380,2420,2370,2375,0,0,0,0,,,50,-5
17-May-91,2430,2435,2400,2415,0,0,0,0,,,35,-15
20-May-91,2395,2400,2370,2375,0,0,0,0,,,30,-20
21-May-91,2395,2530,2395,2510,0,0,0,0,,,135,115
23-May-91,2480,2560,2470,2515,0,0,0,0,,,90,35
27-May-91,2525,2650,2515,2620,0,0,0,0,,,135,95
29-May-91,2680,2680,2680,2680,0,0,0,0,,,0,0
30-May-91,2760,2780,2710,2770,0,0,0,0,,,70,10
31-May-91,2670,2700,2625,2645,0,0,0,0,,,75,-25
3-Jun-91,2635,2635,2570,2580,0,0,0,0,,,65,-55
4-Jun-91,2605,2635,2585,2615,0,0,0,0,,,50,10
5-Jun-91,2630,2635,2585,2600,0,0,0,0,,,50,-30
6-Jun-91,2625,2630,2560,2575,0,0,0,0,,,70,-50
7-Jun-91,2535,2540,2450,2455,0,0,0,0,,,90,-80
11-Jun-91,2460,2490,2450,2485,0,0,0,0,,,40,25
12-Jun-91,2530,2590,2530,2575,0,0,0,0,,,60,45
13-Jun-91,2615,2630,2500,2530,0,0,0,0,,,130,-85
17-Jun-91,2610,2630,2575,2580,0,0,0,0,,,55,-30
18-Jun-91,2630,2650,2600,2650,0,0,0,0,,,50,20
19-Jun-91,2630,2635,2600,2600,0,0,0,0,,,35,-30
20-Jun-91,2600,2625,2580,2585,0,0,0,0,,,45,-15
24-Jun-91,2565,2580,2485,2495,0,0,0,0,,,95,-70
25-Jun-91,2430,2470,2420,2465,0,0,0,0,,,50,35
26-Jun-91,2445,2460,2355,2375,0,0,0,0,,,105,-70
27-Jun-91,2330,2410,2305,2400,0,0,0,0,,,105,70
28-Jun-91,2410,2410,2325,2335,0,0,0,0,,,85,-75
2-Jul-91,2285,2285,2250,2260,0,0,0,0,,,35,-25
3-Jul-91,2280,2300,2180,2185,0,0,0,0,,,120,-95
4-Jul-91,2160,2280,2105,2210,0,0,0,0,,,175,50
5-Jul-91,2350,2415,2350,2390,0,0,0,0,,,65,40
8-Jul-91,2350,2425,2350,2350,0,0,0,0,,,75,0
9-Jul-91,2340,2380,2335,2360,0,0,0,0,,,45,20
10-Jul-91,2410,2430,2380,2385,0,0,0,0,,,50,-25
11-Jul-91,2380,2480,2360,2450,0,0,0,0,,,120,70
12-Jul-91,2490,2500,2445,2460,0,0,0,0,,,55,-30
15-Jul-91,2410,2410,2360,2365,0,0,0,0,,,50,-45
16-Jul-91,2335,2400,2335,2400,0,0,0,0,,,65,65
17-Jul-91,2380,2440,2360,2430,0,0,0,0,,,80,50
19-Jul-91,2520,2585,2520,2580,0,0,0,0,,,65,60
22-Jul-91,2560,2565,2530,2535,0,0,0,0,,,35,-25
24-Jul-91,2580,2610,2560,2575,0,0,0,0,,,50,-5
25-Jul-91,2875,2930,2870,2885,0,0,0,0,,,60,10
26-Jul-91,2900,2945,2870,2875,0,0,0,0,,,75,-25
29-Jul-91,2975,3075,2975,3000,0,0,0,0,,,100,25
30-Jul-91,3020,3020,2960,2970,0,0,0,0,,,60,-50
31-Jul-91,2945,2970,2890,2970,0,0,0,0,,,80,25
1-Aug-91,2990,3060,2990,3000,0,0,0,0,,,70,10
2-Aug-91,3140,3200,3060,3135,0,0,0,0,,,140,-5
5-Aug-91,3100,3130,3060,3100,0,0,0,0,,,70,0
7-Aug-91,3060,3060,2990,3000,0,0,0,0,,,70,-60
8-Aug-91,2900,2990,2860,2970,0,0,0,0,,,130,70
9-Aug-91,3020,3030,2970,2980,0,0,0,0,,,60,-40
12-Aug-91,2980,3000,2950,2950,0,0,0,0,,,50,-30
13-Aug-91,2990,3050,2990,3020,0,0,0,0,,,60,30
14-Aug-91,3030,3150,3010,3145,0,0,0,0,,,140,115
16-Aug-91,3240,3300,3220,3270,0,0,0,0,,,80,30
19-Aug-91,3360,3380,3290,3345,0,0,0,0,,,90,-15
20-Aug-91,3300,3315,3220,3255,0,0,0,0,,,95,-45
21-Aug-91,3210,3285,3210,3255,0,0,0,0,,,75,45
22-Aug-91,3400,3445,3380,3410,0,0,0,0,,,65,10
23-Aug-91,3370,3470,3370,3420,0,0,0,0,,,100,50
26-Aug-91,3570,3570,3510,3540,0,0,0,0,,,60,-30
27-Aug-91,3480,3515,3450,3470,0,0,0,0,,,65,-10
28-Aug-91,3500,3520,3460,3460,0,0,0,0,,,60,-40
30-Aug-91,3370,3450,3360,3400,0,0,0,0,,,90,30
3-Sep-91,3480,3485,3410,3430,0,0,0,0,,,75,-50
4-Sep-91,3405,3450,3390,3445,0,0,0,0,,,60,40
5-Sep-91,3530,3580,3510,3570,0,0,0,0,,,70,40
6-Sep-91,3630,3660,3610,3625,0,0,0,0,,,50,-5
10-Sep-91,3710,3730,3665,3670,0,0,0,0,,,65,-40
13-Sep-91,3700,3810,3700,3800,0,0,0,0,,,110,100
16-Sep-91,3870,3900,3855,3890,0,0,0,0,,,45,20
17-Sep-91,3820,3860,3780,3815,0,0,0,0,,,80,-5
18-Sep-91,3850,3860,3670,3710,0,0,0,0,,,190,-140
20-Sep-91,3600,3600,3420,3460,0,0,0,0,,,180,-140
24-Sep-91,3400,3440,3360,3415,0,0,0,0,,,80,15
25-Sep-91,3400,3485,3400,3415,0,0,0,0,,,85,15
26-Sep-91,3410,3410,3300,3300,0,0,0,0,,,110,-110
27-Sep-91,3430,3520,3430,3520,0,0,0,0,,,90,90
30-Sep-91,3580,3610,3550,3555,0,0,0,0,,,60,-25
1-Oct-91,3540,3545,3485,3495,0,0,0,0,,,60,-45
3-Oct-91,3440,3440,3350,3355,0,0,0,0,,,90,-85
4-Oct-91,3265,3300,3230,3235,0,0,0,0,,,70,-30
7-Oct-91,3310,3330,3230,3240,0,0,0,0,,,100,-70
9-Oct-91,3090,3125,3030,3100,0,0,0,0,,,95,10
10-Oct-91,3175,3205,3140,3190,0,0,0,0,,,65,15
11-Oct-91,3210,3235,3180,3195,0,0,0,0,,,55,-15
14-Oct-91,3170,3170,3115,3120,0,0,0,0,,,55,-50
15-Oct-91,3050,3110,3035,3110,0,0,0,0,,,75,60
16-Oct-91,3180,3280,3170,3260,0,0,0,0,,,110,80
18-Oct-91,3290,3320,3235,3245,0,0,0,0,,,85,-45
21-Oct-91,3160,3210,3155,3205,0,0,0,0,,,55,45
22-Oct-91,3160,3210,3155,3205,0,0,0,0,,,55,45
23-Oct-91,3210,3220,3180,3200,0,0,0,0,,,40,-10
24-Oct-91,3260,3280,3225,3230,0,0,0,0,,,55,-30
26-Oct-91,3220,3240,3205,3225,0,0,0,0,,,35,5
29-Oct-91,3440,3550,3440,3550,0,0,0,0,,,110,110
30-Oct-91,3520,3540,3450,3465,0,0,0,0,,,90,-55
31-Oct-91,3470,3540,3470,3520,0,0,0,0,,,70,50
1-Nov-91,3610,3625,3570,3590,0,0,0,0,,,55,-20
5-Nov-91,3610,3620,3555,3570,0,0,0,0,,,65,-40
8-Nov-91,3575,3580,3530,3535,0,0,0,0,,,50,-40
11-Nov-91,3460,3460,3390,3445,0,0,0,0,,,70,-15
12-Nov-91,3410,3420,3365,3370,0,0,0,0,,,55,-40
13-Nov-91,3290,3355,3270,3345,0,0,0,0,,,85,55
14-Nov-91,3350,3380,3310,3340,0,0,0,0,,,70,-10
15-Nov-91,3290,3320,3260,3300,0,0,0,0,,,60,10
18-Nov-91,3240,3240,3180,3205,0,0,0,0,,,60,-35
19-Nov-91,3205,3295,3205,3290,0,0,0,0,,,90,85
20-Nov-91,3325,3355,3230,3230,0,0,0,0,,,125,-95
22-Nov-91,3180,3220,3115,3170,0,0,0,0,,,105,-10
26-Nov-91,3130,3180,3090,3090,0,0,0,0,,,90,-40
27-Nov-91,3150,3230,3110,3180,0,0,0,0,,,120,30
28-Nov-91,3180,3240,3180,3205,0,0,0,0,,,60,25
29-Nov-91,3335,3355,3320,3340,0,0,0,0,,,35,5
2-Dec-91,3390,3390,3345,3355,0,0,0,0,,,45,-35
3-Dec-91,3290,3310,3265,3285,0,0,0,0,,,45,-5
4-Dec-91,3265,3270,3210,3225,0,0,0,0,,,60,-40
5-Dec-91,3155,3175,3125,3170,0,0,0,0,,,50,15
6-Dec-91,3165,3240,3150,3235,0,0,0,0,,,90,70
9-Dec-91,3240,3240,3075,3080,0,0,0,0,,,165,-160
10-Dec-91,3040,3060,2980,3040,0,0,0,0,,,80,0
11-Dec-91,3060,3095,3025,3060,0,0,0,0,,,70,0
12-Dec-91,3040,3050,2955,2955,0,0,0,0,,,95,-85
